full_name,name,type,acc_mean,acc_std,kappa_mean,kappa_std,acc_best,kappa_best,fold_accs,fold_kappas,path,test_acc,test_kappa,cf_matrix_path,hypno_acc,gen_time,hypno_path
LightGBM,LGBM,Tree-Based,0.7711133368502882,0.0110580194555158,0.6887532741419498,0.0158807801427913,0.7857774249995491,0.7113193695711882,"[0.7822102234378885, 0.7665833392014647, 0.7568015984871461, 0.7641940981253924, 0.7857774249995491]","[0.7028607198228597, 0.6815896297628314, 0.6682532235219686, 0.6797434280309006, 0.7113193695711882]",models/best_LGBM_calibrated.pkl,0.7811297330850403,0.694964806891643,./results/confusion_matrix_LGBM.png,0.8162344983089064,8.849730253219604,./results/hypnogram_LGBM.png
XGBoost,XGB,Tree-Based,0.7703710650672354,0.0101548626181356,0.6880160014673745,0.0145842825377492,0.7836126495048076,0.7085995091740788,"[0.7801854285815779, 0.7679388775438349, 0.7564983140955881, 0.7636200556103686, 0.7836126495048076]","[0.7002627188458095, 0.6838012033399608, 0.6681110674102262, 0.6793055085667973, 0.7085995091740788]",./models/best_XGB_calibrated.pkl,0.7804055452100145,0.6943225033954341,./results/confusion_matrix_XGB.png,0.8229988726042841,8.780928611755371,./results/hypnogram_XGB.png
Random Forest,RF,Tree-Based,0.7432683769828522,0.0111999312178286,0.6507489248998374,0.0161840081743676,0.7601789547742319,0.6763383988675522,"[0.7523533799865013, 0.7389444405323569, 0.7308261823631206, 0.7340389272580501, 0.7601789547742319]","[0.6624766935630217, 0.6433002138925756, 0.6330127864256154, 0.6386165317504218, 0.6763383988675522]",./models/best_RF_calibrated.pkl,0.752307055659011,0.6557300761808108,./results/confusion_matrix_RF.png,0.7598647125140925,9.488903045654297,./results/hypnogram_RF.png
Linear Discriminant Analysis,LDA,Probabilistic,0.7251449734792191,0.0114994112293765,0.6275775013076966,0.0160481935880853,0.7391034066285389,0.6467204207612629,"[0.7391034066285389, 0.7233997605802408, 0.7122009526697947, 0.7133554578885999, 0.7376652896289214]","[0.6458964764441146, 0.6238893225227901, 0.609754756243589, 0.6116265305667266, 0.6467204207612629]",./models/best_LDA-Baseline.pkl,0.7352162218084006,0.633819693313449,./results/confusion_matrix_LDA.png,0.6426155580608793,8.676761627197266,./results/hypnogram_LDA.png
Logistic Regression,LR,Probabilistic,0.7121109874086573,0.0128291996446337,0.6258207953233995,0.0165434759576224,0.7299385456999752,0.6477296725964201,"[0.7299385456999752, 0.7032955425674249, 0.6938790073680267, 0.7115974526863396, 0.7218443887215197]","[0.6477296725964201, 0.6136944797942916, 0.6030927868298771, 0.6238961415400885, 0.64069089585632]",./models/best_LogisticR-Baseline.pkl,0.7213325056900476,0.6319456980956805,./results/confusion_matrix_LR.png,0.5569334836527621,8.765218734741211,./results/hypnogram_LR.png
Multi-Layer Perceptron,MLP,DL,0.7764210679835772,0.0101101361758506,0.6989615524074918,0.0137796695254437,0.7918027167932459,0.7205482467389134,"[0.7843415864445312, 0.7682733610309134, 0.764936756284231, 0.7727509193649654, 0.7918027167932459]","[0.7088583254536138, 0.687191663477243, 0.6839753334280958, 0.6942341929395928, 0.7205482467389134]",./models/best_MLP.keras,0.7213325056900476,0.6319456980956805,./results/confusion_matrix_MLP.png,0.5670800450958287,9.254408836364746,./results/hypnogram_MLP.png
Long-Short Term-Memory,LSTM,DL,0.7611370358330632,0.0092855245114806,0.6776492768000232,0.0136698093853463,0.7732758465174174,0.696831660264752,"[0.7705765336932968, 0.7590486585451729, 0.7509678340142365, 0.7518163063951924, 0.7732758465174174]","[0.6896288820431726, 0.6750345555777697, 0.6613100125879696, 0.6654412735264519, 0.696831660264752]",./models/best_lstm_se_focal.keras,0.7681150424167184,0.6817712118881719,./results/confusion_matrix_LSTM.png,0.6279594137542277,10.868401050567629,./results/hypnogram_LSTM.png
Residual Neural Network,ResNet,DL,0.766420347071488,0.0104838998571382,0.6823012029528794,0.0145635385420445,0.7793552576984829,0.7018449659231936,"[0.7788178039856488, 0.7610731638616999, 0.7560701478957416, 0.7567853619158669, 0.7793552576984829]","[0.698076313161841, 0.6734033441520835, 0.6682352398762481, 0.6699461516510307, 0.7018449659231936]",./models/best_resnet_feature.keras,0.7771570453134699,0.6890217817325692,./results/confusion_matrix_ResNet.png,0.5738444193912063,9.37477421760559,./results/hypnogram_ResNet.png
Convolution Neural Network,CNN,DL_Raw,0.7527279879519719,0.0150357413232378,0.6646192005291426,0.0157436274702569,0.7815484960352277,0.6935160523294936,"[0.738546448282637, 0.7494791666666667, 0.7436265037711152, 0.7815484960352277, 0.7504393250042127]","[0.6461679889393066, 0.6644987428271387, 0.6571637323122272, 0.6935160523294936, 0.6617494862375469]",./models/best_medium_cnn.keras,0.7703874232619877,0.6822190193653697,./results/confusion_matrix_CNN.png,0.8056497175141243,4.186633825302124,./results/hypnogram_CNN.png
SeqSleepNet,SSN,Hybrid,0.7572424901737225,0.018308770262965,0.6688822102578489,0.0210985330017646,0.7789626195305709,0.6953776010368854,"[np.float64(0.7350551418606843), np.float64(0.7383149397953545), np.float64(0.7760415833666533), np.float64(0.7578381663153497), np.float64(0.7789626195305709)]","[0.6418645192225598, 0.6468195006175161, 0.6852724902125787, 0.6750769401997045, 0.6953776010368854]",./models/best_SeqSleepNet.keras,0.765534262485482,0.6769705122368626,./results/confusion_matrix_SSN.png,0.8180790960451978,103.77560186386108,./results/hypnogram_SSN.png
