filename,link,study,type
SC4001E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,sc,psg
SC4001EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4001EC-Hypnogram.edf,sc,hypnogram
SC4002E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,sc,psg
SC4002EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4002EC-Hypnogram.edf,sc,hypnogram
SC4011E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,sc,psg
SC4011EH-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4011EH-Hypnogram.edf,sc,hypnogram
SC4012E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,sc,psg
SC4012EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4012EC-Hypnogram.edf,sc,hypnogram
SC4021E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,sc,psg
SC4021EH-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4021EH-Hypnogram.edf,sc,hypnogram
SC4022E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,sc,psg
SC4022EJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4022EJ-Hypnogram.edf,sc,hypnogram
SC4031E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,sc,psg
SC4031EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4031EC-Hypnogram.edf,sc,hypnogram
SC4032E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,sc,psg
SC4032EP-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4032EP-Hypnogram.edf,sc,hypnogram
SC4041E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,sc,psg
SC4041EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4041EC-Hypnogram.edf,sc,hypnogram
SC4042E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,sc,psg
SC4042EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4042EC-Hypnogram.edf,sc,hypnogram
SC4051E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,sc,psg
SC4051EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4051EC-Hypnogram.edf,sc,hypnogram
SC4052E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,sc,psg
SC4052EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4052EC-Hypnogram.edf,sc,hypnogram
SC4061E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,sc,psg
SC4061EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4061EC-Hypnogram.edf,sc,hypnogram
SC4062E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,sc,psg
SC4062EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4062EC-Hypnogram.edf,sc,hypnogram
SC4071E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,sc,psg
SC4071EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4071EC-Hypnogram.edf,sc,hypnogram
SC4072E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,sc,psg
SC4072EH-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4072EH-Hypnogram.edf,sc,hypnogram
SC4081E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,sc,psg
SC4081EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4081EC-Hypnogram.edf,sc,hypnogram
SC4082E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,sc,psg
SC4082EP-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4082EP-Hypnogram.edf,sc,hypnogram
SC4091E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,sc,psg
SC4091EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4091EC-Hypnogram.edf,sc,hypnogram
SC4092E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,sc,psg
SC4092EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4092EC-Hypnogram.edf,sc,hypnogram
SC4101E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4101E0-PSG.edf,sc,psg
